trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.00005}",30,21,15.10575342907665,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.54512470827987,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.99985}",30,0,-173.5420598397008,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9996}",30,0,-197.32398096844037,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99925}",20,0,-147.12400811094477,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9988}",25,0,-222.19068627206653,"{0: 13, 1: 3, 2: 2, 3: 4, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.99825}",30,0,-180.72709797649782,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9976}",20,0,-88.18863132013055,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.99685}",20,0,-98.26367381725304,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.996}",20,0,-84.09015564595722,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99505}",25,0,-214.40682592821102,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.994}",20,0,-40.195066731051334,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.99285}",25,0,-229.71772461218026,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9916}",25,0,-117.84968771173348,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.99025}",30,0,-184.1303280841548,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9888}",30,0,-157.23441303579835,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.98725}",25,0,-133.8046507725444,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9856}",25,0,-105.04632035366916,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.98385}",20,0,-126.23341024045644,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.982}",30,0,-80.3072712434999,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.98005}",25,0,-134.66546302592374,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,0,-143.70793351982957,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.97585}",20,0,-103.07755459655512,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9736}",20,0,-122.55409879045216,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.97125}",20,0,-140.49545959197536,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9688}",20,0,-152.97787318234433,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.96625}",25,0,-83.68581259596945,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9636}",25,0,-150.85576962534134,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.96085}",20,0,-85.16175998428824,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.958}",35,0,-238.79001034681943,"{0: 16, 1: 5, 2: 11, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.95505}",20,0,-64.01202930736045,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.952}",25,0,-88.41238030990942,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.94885}",25,13,-113.01573896028046,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.9456}",30,0,-114.67639541963864,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.94225}",20,0,-154.1406887355024,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9388}",20,0,-128.9658947172643,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.93525}",25,0,-128.93640212963726,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9316}",20,5,-11.131673895455743,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.92785}",20,0,-97.6560826007934,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.924}",20,0,-34.5039156608063,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.92005}",25,0,-223.1446371965035,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.916}",35,0,-185.82190528724732,"{0: 18, 1: 7, 2: 7, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.91185}",30,14,-99.2982130620311,"{0: 8, 1: 0, 2: 7, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9076}",25,0,-81.25434258986414,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.90325}",25,0,-226.7470799472138,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.8988}",25,7,-141.2736826462299,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.89425}",20,0,-40.61622473504923,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8896}",20,0,-117.05798725099481,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.88485}",20,0,-29.915041504208457,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.88}",20,0,-114.98478131494727,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.87505}",25,0,-138.42012338142888,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.87}",20,6,-14.230801763279347,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.86485}",25,3,-87.99865615569648,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.8596}",25,0,-99.74956896086522,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.85425}",30,0,-82.63370721466944,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8488}",25,0,-35.19732153027113,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.84325}",25,0,-111.82768616943086,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8376}",20,0,-27.876729033988315,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.83185}",20,0,-118.87631160611144,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.826}",30,0,-170.43534911739636,"{0: 14, 1: 4, 2: 9, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.82005}",20,0,-43.91085377975713,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8140000000000001}",20,0,-40.25355221982831,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.80785}",20,0,-147.40701806533272,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.8016}",20,0,-22.60335148036223,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
