trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.70757298876681,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.04946986615698,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.04396689534767,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.86088876793826,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.04497189352966,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,4,-105.51052975443477,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.82361658669652,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.85638342375861,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.60418782259503,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.17279128336477,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.40726260259837,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-43.149661225661205,"{0: 11, 1: 4, 2: 0, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.64693191530077,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,4,-103.78817187852228,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-46.528376731099804,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-248.32001827092554,"{0: 18, 1: 4, 2: 7, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.19869941100612,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,4,-121.95977721091214,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.91791664338905,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.94800949569714,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.5967769829452,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.89574737883699,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-218.5657319619704,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.47862619603663,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.03630845775098,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-203.50563574908952,"{0: 14, 1: 1, 2: 13, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.76476158326098,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-181.34242200053646,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.93186930649368,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.22820580692675,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
